Name,Team,Position,Birthday,Salary
Shake Milton,Philadelphia 76ers,SG,9/26/96,1445697
Christian Wood,Detroit Pistons,PF,9/27/95,1645357
PJ Washington,Charlotte Hornets,PF,8/23/98,3831840
Derrick Rose,Detroit Pistons,PG,10/4/88,7317074
Marial Shayok,Philadelphia 76ers,G,7/26/95,79568
Draymond Green,Golden State Warriors,PF,3/4/90,18539130
Kendrick Nunn,Miami Heat,SG,8/3/95,1416852
Cedi Osman,Cleveland Cavaliers,SF,4/8/95,2907143
Brook Lopez,Milwaukee Bucks,C,4/1/88,12093024
Torrey Craig,Denver Nuggets,SF,12/19/90,2000000
Jordan Clarkson,Cleveland Cavaliers,PG,6/7/92,13437500
Alex Caruso,Los Angeles Lakers,PG,2/28/94,2750000
Norvel Pelle,Philadelphia 76ers,FC,2/3/93,79568
Tyler Johnson,Phoenix Suns,PG,5/7/92,19245370
Alec Burks,Golden State Warriors,SG,7/20/91,2320044
JaMychal Green,Los Angeles Clippers,PF,6/21/90,4767000
Dwight Howard,Los Angeles Lakers,C,12/8/85,5603850
Nikola Jokic,Denver Nuggets,C,2/19/95,27504630
Chris Boucher,Toronto Raptors,PF,1/11/93,1588231
Marcus Morris,New York Knicks,PF,9/2/89,15000000
Kevin Huerter,Atlanta Hawks,SG,8/27/98,2636280
Rui Hachimura,Washington Wizards,PF,2/8/98,4469160
George Hill,Milwaukee Bucks,PG,5/4/86,10133907
Nickeil Alexander-Walker,New Orleans Pelicans,SG,9/2/98,2964840
Jaylen Hoard,Portland Trail Blazers,SF,3/30/99,79568
Tyler Cook,Cleveland Cavaliers,PF,9/23/97,79568
Otto Porter,Chicago Bulls,SF,6/3/93,27250576
Langston Galloway,Detroit Pistons,PG,12/9/91,7333333
Evan Turner,Atlanta Hawks,PG,10/27/88,18606556
Norman Powell,Toronto Raptors,SG,5/25/93,10116576
Nicolas Claxton,Brooklyn Nets,PF,4/17/99,898310
Michael Frazier,Houston Rockets,G,3/8/94,79568
Paul Millsap,Denver Nuggets,PF,2/10/85,30000000
Furkan Korkmaz,Philadelphia 76ers,SG,7/24/97,1620564
Trey Burke,Philadelphia 76ers,PG,11/12/92,2028594
Bradley Beal,Washington Wizards,SG,6/28/93,27093018
Thomas Bryant,Washington Wizards,C,7/31/97,8000000
Dean Wade,Cleveland Cavaliers,PF,11/20/96,79568
Chris Paul,Oklahoma City Thunder,PG,5/6/85,38506482
Josh Hart,New Orleans Pelicans,SF,3/6/95,1934160
LaMarcus Aldridge,San Antonio Spurs,C,7/19/85,26000000
DaQuan Jeffries,Sacramento Kings,SG,8/30/97,898310
Hamidou Diallo,Oklahoma City Thunder,SF,7/31/98,1416852
Jamal Murray,Denver Nuggets,PG,2/23/97,4444746
Darius Bazley,Oklahoma City Thunder,PF,6/12/00,2284800
Robert Franks,Charlotte Hornets,F,12/18/96,79568
Gerald Green,Houston Rockets,SF,1/26/86,2564753
Thaddeus Young,Chicago Bulls,PF,6/21/88,12900000
Sviatoslav Mykhailiuk,Detroit Pistons,SF,6/10/97,1416852
Ian Mahinmi,Washington Wizards,C,11/5/86,15450051
Deonte Burton,Oklahoma City Thunder,SG,1/31/94,1416852
Markelle Fultz,Orlando Magic,PG,5/29/98,9745200
Aaron Gordon,Orlando Magic,PF,9/16/95,19863636
Dzanan Musa,Brooklyn Nets,SF,5/8/99,1911600
Patrick McCaw,Toronto Raptors,SF,10/25/95,4000000
Bismack Biyombo,Charlotte Hornets,C,8/28/92,17000000
JaVale McGee,Los Angeles Lakers,C,1/19/88,4000000
Juwan Morgan,Utah Jazz,F,4/17/97,796806
Marc Gasol,Toronto Raptors,C,1/29/85,25595700
Marcus Smart,Boston Celtics,PG,3/6/94,12553571
Rudy Gobert,Utah Jazz,C,6/26/92,24258427
Wesley Iwundu,Orlando Magic,SF,12/20/94,1618520
Dwight Powell,Dallas Mavericks,C,7/20/91,10259375
Goran Dragic,Miami Heat,PG,5/6/86,19217900
Theo Pinson,Brooklyn Nets,SG,11/5/95,1445697
Danilo Gallinari,Oklahoma City Thunder,PF,8/8/88,22615559
