,연도,월,호선,영업일,영업열차운행횟수-정기(회),영업열차운행횟수-임시(회),영업열차운행횟수-합계(회),비영업열차운행횟수-합계(회),전체열차운행횟수-합계(회),영업열차운행키로-정기(Km),영업열차운행키로-임시(Km),영업열차운행키로-합계(Km),비영업열차운행키로-합계(Km),전체열차운행키로-합계(Km)
0,2019.0,2.0,2.0,28.0,8000.0,,8000.0,152.0,8152.0,250080.0,,250080.0,584.1,250664.1
1,2019.0,3.0,2.0,31.0,8904.0,2.0,8906.0,174.0,9080.0,278345.6,56.0,278401.6,746.1,279147.7
2,2019.0,4.0,2.0,30.0,8688.0,2.0,8690.0,172.0,8862.0,271603.2,62.8,271666.0,761.2,272427.2
3,2019.0,5.0,2.0,31.0,8952.0,11.0,8963.0,175.0,9138.0,279852.8,330.6,280183.4,669.4,280852.8
4,2019.0,6.0,2.0,30.0,8608.0,12.0,8620.0,162.0,8782.0,269091.2,376.8,269468.0,603.1,270071.1
5,2019.0,7.0,2.0,31.0,8984.0,4.0,8988.0,186.0,9174.0,280937.6,125.6,281063.2,864.5,281927.7
6,2019.0,8.0,2.0,31.0,8936.0,,8936.0,170.0,9106.0,279350.4,,279350.4,645.3,279995.7
7,2019.0,9.0,2.0,30.0,8576.0,,8576.0,162.0,9738.0,268086.4,,268086.4,618.1,268704.5
8,2019.0,10.0,2.0,31.0,8920.0,,8920.0,236.0,9156.0,278848.0,,278848.0,1255.8,280103.8
9,2019.0,11.0,2.0,30.0,8672.0,4.0,8676.0,229.0,8905.0,271100.8,125.6,271226.4,1202.8,272429.2
10,2019.0,12.0,2.0,31.0,8920.0,2.0,8922.0,230.0,9152.0,278868.0,62.8,278930.8,1226.4,280157.2
11,2020.0,1.0,2.0,31.0,8872.0,6.0,8878.0,228.0,9106.0,277340.8,188.4,277529.2,1105.6,278634.8
12,2020.0,2.0,2.0,29.0,8376.0,0.0,8376.0,220.0,8596.0,261846.4,0.0,261846.4,1172.9,263019.3
13,2020.0,3.0,2.0,31.0,8260.0,36.0,8296.0,202.0,8498.0,258124.0,1130.4,259254.4,1033.7,260288.1
14,2020.0,4.0,2.0,30.0,8624.0,0.0,8624.0,226.0,8850.0,269593.6,0.0,269593.6,1203.7,270797.3
