연도,월,호선,영업일,영업열차운행횟수-정기(회),영업열차운행횟수-임시(회),영업열차운행횟수-합계(회),비영업열차운행횟수-합계(회),전체열차운행횟수-합계(회),영업열차운행키로-정기(Km),영업열차운행키로-임시(Km),영업열차운행키로-합계(Km),비영업열차운행키로-합계(Km),전체열차운행키로-합계(Km)
2005,10,2,14,8963,6,8969,14,8983,249903.5,200,250103.5,358.2,250461.7
2005,11,2,30,9263,4,9267,91,9358,258363.6,112,258475.6,2374.1,260849.7
2005,12,2,31,9552,4,9556,5,9561,266427.1,112,266539.1,38.7,266577.8
2006,01,2,31,9504,0,9504,0,9504,265082.8,0,265082.8,0,265082.8
2006,02,2,28,8640,0,8640,6,8646,240990.4,0,240990.4,17.4,241007.8
2006,03,2,31,9552,0,9552,31,9583,266418.2,0,266418.2,617.2,267035.4
2006,04,2,30,9240,0,9240,18,9258,257716,0,257716,144.6,257860.6
2006,05,2,31,9528,0,9528,2,9530,265754.8,0,265754.8,56,265810.8
2006,06,2,30,9239,24,9263,10,9273,257677.9,655.4,258333.3,130.3,258463.6
2006,07,2,31,9528,0,9528,7,9535,265746.2,0,265746.2,122.8,265869
2006,08,2,31,9552,0,9552,16,9568,266426.8,0,266426.8,143.9,266570.7
2006,09,2,30,9264,0,9264,2,9266,258396,0,258396,56,258452
2006,10,2,31,9456,0,9456,6,9462,263738.8,0,263738.8,168,263906.8
2006,11,2,30,9263,4,9267,7,9274,258368,112,258480,196,258676
2006,12,2,31,9528,9,9537,3,9540,265759.5,252,266011.5,31.7,266043.2
2007,01,2,31,9552,0,9552,0,9552,266426.8,0,266426.8,0,266426.8
2007,02,2,28,8592,0,8592,8,8600,239646.4,0,239646.4,23.2,239669.6
2007,03,2,31,9552,0,9552,16,9568,266426.8,0,266426.8,146.8,266573.6
2007,04,2,30,9240,1,9241,35,9276,257704.6,28,257732.6,220.8,257953.4
2007,05,2,31,9528,0,9528,6,9534,265754.8,0,265754.8,98,265852.8
2007,06,2,30,9240,1,9241,5,9246,257724,28,257752,131.3,257883.3
2007,07,2,31,9528,0,9528,16,9544,265754.8,0,265754.8,363.5,266118.3
2007,08,2,31,9552,0,9552,12,9564,266426.8,0,266426.8,215.8,266642.6
2007,09,2,30,9168,0,9168,8,9176,255708,0,255708,151.1,255859.1
2007,10,2,31,9552,0,9552,6,9558,266426.8,0,266426.8,95.1,266521.9
2007,11,2,30,9264,4,9268,6,9274,258396,112,258508,98,258606
2007,12,2,31,9504,8,9512,14,9526,265099.4,224,265323.4,112.2,265435.6
2008,01,2,31,9552,0,9552,4,9556,266426.8,0,266426.8,42,266468.8
2008,02,2,29,8864,5,8869,4,8873,247169.7,80.5,247250.2,74.1,247324.3
2008,03,2,31,9528,0,9528,17,9545,265754.8,0,265754.8,152.1,265906.9
2008,04,2,30,9240,0,9240,6,9246,257724,0,257724,95.1,257819.1
2008,05,2,31,9528,0,9528,8,9536,265754.8,0,265754.8,148.2,265903
2008,06,2,30,9216,0,9216,8,9224,257052,0,257052,131.1,257183.1
2008,07,2,31,9576,0,9576,6,9582,267098.8,0,267098.8,95.1,267193.9
2008,08,2,31,9528,0,9528,6,9534,265754.8,0,265754.8,95.1,265849.9
2008,09,2,30,9216,0,9216,6,9222,257052,0,257052,95.1,257147.1
2008,10,2,31,9552,0,9552,6,9558,266426.8,0,266426.8,95.1,266521.9
2008,11,2,30,9240,4,9244,6,9250,257724,112,257836,95.1,257931.1
2008,12,2,31,9552,8,9560,8,9568,266443.4,224,266667.4,146.7,266814.1
2009,01,2,31,9504,0,9504,2,9506,265082.8,0,265082.8,21,265103.8
2009,02,2,28,8640,0,8640,26,8666,240990.4,0,240990.4,423.2,241413.6
2009,03,2,31,9552,0,9552,6,9558,266426.8,0,266426.8,98,266524.8
2009,04,2,30,9264,0,9264,8,9272,258396,0,258396,154,258550
2009,05,2,31,9504,0,9504,6,9510,265082.8,0,265082.8,98,265180.8
2009,06,2,30,9240,0,9240,12,9252,257724,0,257724,162.7,257886.7
2009,07,2,31,9576,0,9576,6,9582,267098.8,0,267098.8,95.1,267193.9
2009,08,2,31,9528,0,9528,10,9538,265754.8,0,265754.8,210,265964.8
2009,09,2,30,9264,0,9264,18,9282,258396,0,258396,355.3,258751.3
2009,10,2,31,9528,0,9528,16,9544,265754.8,0,265754.8,302.2,266057
2009,11,2,30,9240,4,9244,12,9256,257724,112,257836,190.2,258026.2
2009,12,2,31,9552,8,9560,6,9566,266443.4,224,266667.4,90.7,266758.1
2010,01,2,31,9528,0,9528,2,9530,265754.8,0,265754.8,21,265775.8
2010,02,2,28,8592,0,8592,6,8598,239646.4,0,239646.4,95.1,239741.5
2010,03,2,31,9552,0,9552,6,9558,266426.8,0,266426.8,95.1,266521.9
2010,04,2,30,9264,0,9264,6,9270,258396,0,258396,95.1,258491.1
2010,05,2,31,9504,16,9520,6,9526,265082.8,448,265530.8,95.1,265625.9
2010,06,2,30,9240,22,9262,8,9270,257740.6,616,258356.6,111.7,258468.3
2010,07,2,31,9576,0,9576,10,9586,267098.8,0,267098.8,195,267293.8
